Position,Artist Name,Song Name,Days,Total Streams
1195,Doja Cat,Boss Bitch,114,40956320
1196,iann dior,Prospect (ft. Lil Baby),119,40905921
1197,DJ Snake,You Know You Like It,190,40894937
1198,Tiësto,The Motto,153,40822138
1199,Lil Baby,Emotionally Scarred,136,40670380
1200,Billie Eilish,my future,101,40625371
1201,Mabel,Don't Call Me Up,119,40566845
1202,Eminem,The Ringer,69,40558381
1203,CORPSE,EGIRLS ARE RUINING MY LIFE!,145,40429203
1204,Juice WRLD,Already Dead,90,40414209
1205,Kendrick Lamar,Alright,294,40414154
1206,James Arthur,Train Wreck,149,40405517
1207,Taylor Swift,Sweet Nothing,43,40294896
1208,The Vamps,All Night,139,40284365
1209,BoyWithUke,Toxic,136,40146871
1210,Lunay,Soltera  Remix,128,40085149
1211,Mitski,Washing Machine Heart,175,40063249
1212,Metro Boomin,Creepin',27,40029650
1213,Diane Guerrero,What Else Can I Do?,99,40013524
1214,Juice WRLD,Feeling,145,39966946
1215,Jon Pardi,Heartache On The Dance Floor,196,39943232
1216,Young Thug,Wyclef Jean,215,39926738
1217,Rae Sremmurd,Perplexing Pegasus,124,39910027
1218,Drake,On BS,53,39870499
1219,Natalie La Rose,Somebody,190,39818528
1220,Lil Uzi Vert,Lo Mein,84,39778729
1221,Kanye West,Follow God,59,39754713
1222,Curtis Waters,Stunnin',126,39723968
1223,Imagine Dragons,Whatever It Takes,168,39672015
1224,Drake,Grammys,137,39537457
1225,Post Malone,Same Bitches,75,39468552
1226,Calvin Harris,Promises,80,39351225
1227,A Boogie Wit da Hoodie,Numbers,105,39288171
1228,6LACK,Ex Calling,181,39262008
1229,Maluma,Felices los 4,176,39158450
1230,Drake,Free Smoke,89,39074289
1231,Gunna,P power,112,39009578
1232,Martin Garrix,There for You,103,38986100
1233,Chris Brown,Ayo,300,38923396
1234,J. Cole,Kevin’s Heart,65,38876039
1235,PinkPantheress,Pain,125,38859397
1236,Axwell /\ Ingrosso,More Than You Know,140,38820609
1237,Post Malone,Takin' Shots,70,38797502
1238,Bella Poarch,Build a Bitch,98,38791472
1239,Khalid,My Bad,77,38773023
1240,Bad Bunny,Callaita,133,38763386
1241,The Carters,APESHIT,96,38747584
1242,Juice WRLD,Bad Boy,105,38692795
1243,Paul McCartney,Wonderful Christmastime [Edited Version]  Remastered 2011 / Edited Version,81,38690720
1244,Taylor Swift,champagne problems,86,38667750
1245,Katy Perry,Chained To The Rhythm,96,38655612
1246,A Boogie Wit da Hoodie,My Shit,224,38647385
1247,Tove Lo,Cool Girl,112,38626414
1248,Nebu Kiniza,Gassed Up,201,38611542
1249,Doja Cat,Juicy,133,38580608
1250,Avicii,Lonely Together,132,38574770
1251,Drake,Sticky,92,38564856
1252,Doja Cat,Like That,145,38548756
1253,Metro Boomin,Don't Come Out The House,102,38522839
1254,Olivia Rodrigo,hope ur ok,77,38505781
1255,Rachel Platten,Fight Song,217,38399295
1256,Normani,Motivation,99,38387736
1257,Coldplay,Adventure of a Lifetime,187,38340714
1258,Iggy Azalea,Fancy,265,38339579
1259,Rae Sremmurd,Look Alive,226,38303341
1260,6ix9ine,TATI,124,38279853
1261,Olivia Rodrigo,All I Want,130,38269468
1262,Anne,Marie  Alarm,160,38266800
1263,King Von,Took Her To The O,140,38210416
1264,DJ Khaled,STAYING ALIVE,85,38209343
1265,Joyner Lucas,Ramen & OJ,118,38205698
1266,Future,Used to This,135,38172608
1267,Drake,With You,160,38137637
1268,Metallica,Master Of Puppets,91,38117862
1269,Ty Dolla $ign,Spicy,144,38093021
1270,Judy Garland,Have Yourself A Merry Little Christmas,94,37996382
1271,Kanye West,Pt. 2,190,37809811
1272,Meghan Trainor,Lips Are Movin,198,37798732
1273,Mr.Kitty,After Dark,151,37792811
1274,ZAYN,LIKE I WOULD,115,37778917
1275,ScHoolboy Q,THat Part,189,37731283
1276,Drake,Teenage Fever,106,37554438
1277,Foo Fighters,Everlong,138,37520275
1278,The Weeknd,Sidewalks,107,37445842
1279,Joey Bada$$,Devastated,219,37402203
1280,Juice WRLD,Fast,90,37381807
1281,Meek Mill,Sharing Locations,99,37363421
1282,Mother Mother,Hayloft,133,37325330
1283,Ariana Grande,bad idea,59,37267051
1284,Internet Money,Blastoff,111,37233300
1285,Future,Drankin N Smokin,125,37178805
1286,Aventura,Volví,106,37155827
1287,Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),92,37076096
1288,Lil Durk,3 Headed Goat,138,37066331
1289,Demi Lovato,Cool for the Summer,150,37034004
1290,Sam Feldt,Post Malone,124,37032413
1291,Fat Joe,All The Way Up,188,36979952
1292,Bryce Vine,Drew Barrymore,105,36902844
1293,Bad Bunny,Otro Atardecer,115,36840103
1294,Calvin Harris,Outside,239,36830285
1295,6ix9ine,STOOPID,75,36793453
1296,Kygo,Firestone,311,36785148
1297,John Lennon,Happy Xmas (War Is Over)  Remastered,99,36768316
1298,Kendrick Lamar,PRIDE.,92,36728595
1299,Brent Faiyaz,Dead Man Walking,128,36687713
1300,Rod Wave,By Your Side,113,36673061
1301,Donny Hathaway,This Christmas,92,36663687
1302,Bebe Rexha,I Got You,150,36612941
1303,Major Lazer,Run Up,104,36529486
1304,Lil Uzi Vert,That's A Rack,106,36500377
1305,Eminem,Without Me,158,36410442
1306,Nardo Wick,Dah Dah DahDah,95,36319897
1307,G,Eazy  1942,111,36303331
1308,Nicki Minaj,Bed,78,36281305
1309,Drake,Blem,79,36275542
1310,Lil Uzi Vert,Baby Pluto,68,36192827
1311,Zac Brown Band,Chicken Fried,151,36184251
1312,Petit Biscuit,Sunset Lover,140,36146543
1313,Bad Bunny,Un Coco,122,36095670
1314,Juice WRLD,Hear Me Calling,92,36021604
1315,Marshmello,Project Dreams,128,36010708
1316,Kungs,This Girl  Kungs Vs. Cookin' On 3 Burners,128,36008168
1317,Juice WRLD,Blood On My Jeans,78,35979731
1318,Dan + Shay,Glad You Exist,148,35932635
1319,blackbear,do re mi,130,35925140
1320,ZHU,Working For It  Bonus Track,135,35811214
1321,Rod Wave,Rags2Riches 2,98,35783137
1322,Chris Brown,Pills & Automobiles,149,35766738
1323,Jeremih,Planez,244,35758456
1324,Miley Cyrus,Party In The U.S.A.,135,35748063
1325,Dreamville,Costa Rica,114,35737065
1326,Jonas Blue,Rise,93,35668867
1327,Ariana Grande,Problem,277,35661474
1328,Black Eyed Peas,RITMO (Bad Boys For Life),120,35566452
1329,Lorde,Green Light,92,35545428
1330,Saweetie,Tap In,110,35519560
1331,DaBaby,Masterpiece,146,35472828
1332,AJR,World's Smallest Violin,129,35413229
1333,Blake Shelton,God's Country,124,35394209
1334,Bobby Shmurda,Hot N*gga,228,35391630
1335,Frank Sinatra,Jingle Bells  Remastered 1999,63,35381102
1336,Martin Jensen,Solo Dance,140,35182986
1337,Matoma,Running Out,194,35179841
1338,Jonas Blue,Mama,126,35176363
1339,J. Cole,ATM,56,35156454
1340,YoungBoy Never Broke Again,Kacey Talk,145,35145047
1341,Billie Eilish,Your Power,71,35111253
1342,2 Chainz,Good Drank,190,35102155
1343,Bad Bunny,Andrea,112,35085957
1344,Harry Styles,Little Freak,67,35042124
1345,Disclosure,Latch,274,35040300
1346,Jaymes Young,Infinity,116,35009706
1347,Drake,Spin Bout U,53,34999036
1348,Calvin Harris,Summer,320,34971061
1349,Taylor Swift,End Game,92,34834044
1350,Steve Aoki,Just Hold On,100,34773564
1351,Drake,No Friends In The Industry,65,34759904
1352,Bing Crosby,Do You Hear What I Hear?,101,34741723
1353,Dua Lipa,Physical,108,34730152
1354,Sam Hunt,Leave The Night On,308,34721582
1355,Lil Baby,Heatin Up,99,34712534
1356,Ariana Grande,bloodline,56,34711489
1357,Tyga,SWISH,98,34570097
1358,Niall Horan,This Town,156,34544191
1359,2 Chainz,Bigger Than You,107,34467944
1360,Nelly,The Fix,184,34379158
1361,Drake,Emotionless,42,34344959
1362,Meghan Trainor,Made You Look,66,34342321
1363,X Ambassadors,Unsteady,219,34331656
1364,DaBaby,FIND MY WAY,79,34319287
1365,Demi Lovato,Body Say,129,34246166
1366,OneRepublic,Counting Stars,337,34229004
1367,Kendrick Lamar,King Kunta,261,34225970
1368,SOB X RBE,Paramedic!,91,34212750
1369,YG,Why You Always Hatin?,185,34210856
1370,Jason Derulo,If It Ain't Love,114,34209480
1371,Melanie Martinez,Play Date,91,34165887
1372,Kodak Black,Patty Cake,181,34158324
1373,ILOVEMAKONNEN,Tuesday,209,34009596
1374,G,Eazy  Calm Down,252,33995673
1375,Tori Kelly,Hollow,187,33923685
1376,Lady Gaga,The Cure,96,33917544
1377,Andy Grammer,Fresh Eyes,113,33892531
1378,Kanye West,Yikes,62,33877095
1379,Ghost,Mary On A Cross,86,33860020
1380,Jack Harlow,Dua Lipa,74,33818973
1381,Dominic Fike,3 Nights,117,33818461
1382,Joel Corry,Head & Heart,116,33780521
1383,Roddy Ricch,Tip Toe,97,33753889
1384,Gesaffelstein,Lost in the Fire,86,33729127
1385,Kendrick Lamar,YAH.,67,33680519
1386,Nicki Minaj,Feeling Myself,286,33670845
1387,Bing Crosby,Winter Wonderland,102,33586557
1388,NAV,Turks,99,33555764
1389,Trippie Redd,6 Kiss,91,33472853
1390,Polo G,Bad Man (Smooth Criminal),91,33440572
1391,Kevin Gates,Big Gangsta,108,33419132
1392,Billie Eilish,TV,103,33410882
1393,NAV,Some Way,179,33388503
1394,Armani White,BILLIE EILISH.,101,33370246
1395,Post Malone,No Option,158,33368501
1396,YoungBoy Never Broke Again,Slime Belief,141,33352084
1397,Marshmello,Numb,126,33325524
1398,Polo G,GANG GANG,90,33276808
1399,Trippie Redd,Shake It Up,121,33147889
1400,Internet Money,His & Hers,113,33133955
1401,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],27,33127276
1402,Maluma,Hawái,93,33107405
1403,Coldplay,A Sky Full of Stars,267,33101321
1404,Nicki Minaj,Anaconda,220,33077731
1405,Lil Yachty,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),80,33053745
1406,Bazzi,Beautiful,102,33048178
1407,Jonas Brothers,What A Man Gotta Do,78,33009718
1408,Arctic Monkeys,I Wanna Be Yours,105,32996699
1409,Internet Money,Somebody,103,32988734
1410,Kid Ink,Promise,189,32970385
1411,Lee Brice,One Of Them Girls,131,32969825
1412,21 Savage,Immortal,90,32944588
1413,The Kid LAROI,Thousand Miles,96,32849517
1414,SpotemGottem,Beat Box 3,92,32841611
1415,Harry Styles,Grapejuice,56,32762005
1416,ROSALÍA,DESPECHÁ,95,32745017
1417,Adele,When We Were Young,132,32744780
1418,Drake,Diamonds Dancing,177,32701453
1419,Kanye West,Champions,162,32670186
1420,Anne,Marie  2002,129,32669648
1421,DJ ESCO,Too Much Sauce,171,32633178
1422,Idina Menzel,Into the Unknown,103,32601986
1423,Fall Out Boy,Uma Thurman,267,32593348
1424,Adele,Water Under the Bridge,133,32512873
1425,J. Cole,Motiv8,54,32491973
1426,Chance the Rapper,All Night,132,32466025
1427,SAYGRACE,You Don't Own Me,165,32396064
1428,Sia,The Greatest,76,32383116
1429,DeJ Loaf,Back Up,222,32375664
1430,YBN Nahmir,Opp Stoppa,104,32323596
1431,Elle King,Ex's & Oh's,175,32309968
1432,Sleepy Hallow,Die Young,83,32279009
1433,Moneybagg Yo,Wockesha,108,32240474
1434,Noah Cyrus,Make Me (Cry),120,32239430
1435,Nardo Wick,Me or Sum,118,32108987
1436,Bad Bunny,Si Veo a Tu Mamá,85,32078410
1437,Drake,Do Not Disturb,109,32069594
1438,Drake,Can’t Take A Joke,55,32029655
1439,Sia,The Greatest,67,31996625
1440,Nico & Vinz,Am I Wrong,234,31990791
1441,Camila Cabello,Crying in the Club,90,31952661
1442,Lil Wayne,Don't Cry,47,31856866
1443,King Princess,1950,117,31846652
1444,Luis Fonsi,Échame La Culpa,113,31845232
1445,Selena Gomez,The Heart Wants What It Wants,158,31762355
1446,Nate Smith,Whiskey On You,121,31720619
1447,A Boogie Wit da Hoodie,Demons and Angels,97,31713523
1448,George Ezra,Budapest,269,31696250
1449,Beach Bunny,Cloud 9,106,31676799
1450,Lil Baby,Hats Off,102,31650216
1451,Alesso,Heroes (we could be),193,31641137
1452,Lizzo,Good As Hell,86,31639258
1453,DJ Snake,Loco Contigo,106,31617689
1454,Anuel AA,Secreto,108,31599434
1455,Post Malone,A Thousand Bad Times,63,31577616
1456,Tory Lanez,Freaky,101,31554748
1457,Sheppard,Geronimo,265,31537349
1458,The Weeknd,Wasted Times,52,31536116
1459,Russ,BEST ON EARTH,115,31525891
1460,J. Cole,Immortal,86,31468094
1461,Ariana Grande,One Last Time,180,31452518
1462,Bad Bunny,La Difícil,75,31451898
1463,Comethazine,Walk,125,31394567
1464,Ariana Grande,fake smile,55,31372470
1465,Mark Ronson,Nothing Breaks Like a Heart,83,31342790
1466,J. Cole,a m a r i,52,31305943
1467,Bastille,Pompeii,317,31300005
1468,Drake,Elevate,42,31220700
1469,Lil Dicky,$ave Dat Money,226,31206265
1470,Juice WRLD,Hide,118,31171797
1471,Major Lazer,Know No Better,95,31169274
1472,Juice WRLD,Reminds Me Of You,87,31142891
1473,Eminem,Rap God,296,31065356
1474,Nicki Minaj,The Night Is Still Young,186,30764917
1475,Juice WRLD,Stay High,77,30746480
1476,Rema,Calm Down,102,30698893
1477,Chris Brown,Party,151,30695726
1478,Lil Uzi Vert,Futsal Shuffle 2020  Bonus Track,86,30664662
1479,Nipsey Hussle,Racks In The Middle,87,30654165
1480,Young Stoner Life,Ski,98,30644017
1481,Sam Hunt,Break Up In A Small Town,212,30587273
1482,5 Seconds of Summer,Easier,86,30543478
1483,d4vd,Here With Me,71,30491119
1484,Ricky Montgomery,Line Without a Hook,123,30484202
1485,Justin Bieber,The Feeling,128,30452912
1486,One Direction,Steal My Girl,172,30423805
1487,Melanie Martinez,Pity Party,126,30351358
1488,Lil Durk,Still Trappin',112,30319214
1489,GloRilla,Tomorrow 2,86,30296028
1490,Bing Crosby,Winter Wonderland  Remastered,63,30273725
1491,Fetty Wap,RGF Island,176,30265857
1492,Tom Odell,Another Love,107,30208862
1493,NAV,Up,128,30163651
1494,Gwen Stefani,You Make It Feel Like Christmas,71,30163041
1495,Andy Williams,Happy Holiday / The Holiday Season,66,30156265
1496,P!nk,What About Us,105,30152791
1497,Rae Sremmurd,Throw Sum Mo,246,30135936
1498,Nirvana,Something In The Way  Remastered,68,30074497
1499,Passenger,Let Her Go,315,30069845
1500,Sam Hunt,Take Your Time,239,30009669
1501,Selena Gomez,Look At Her Now,67,29986586
1502,Morgan Wallen,Don't Think Jesus,82,29980127
1503,Khalid,Outta My Head,65,29957244
1504,Offset,Legacy,84,29954925
1505,The Weeknd,Sacrifice,66,29954189
1506,Juice WRLD,Empty,90,29946861
1507,Måneskin,I WANNA BE YOUR SLAVE,89,29927228
1508,Chris Brown,Questions,102,29925889
1509,Kygo,Remind Me to Forget,92,29883022
1510,Lil Tecca,LOT OF ME,113,29881594
1511,Ricky Montgomery,Mr Loverman,133,29828809
1512,Cashmere Cat,Trust Nobody,118,29819484
1513,Kygo,First Time,80,29815835
1514,Post Malone,Otherside,55,29781234
1515,Meghan Trainor,Me Too,148,29771261
1516,Amaarae,SAD GIRLZ LUV MONEY Remix,97,29739148
1517,Astrid S,Hurts So Good,124,29711883
1518,Katy Perry,Dark Horse,286,29708371
1519,Russell Dickerson,Yours,139,29689707
1520,YoungBoy Never Broke Again,Self Control,100,29638460
1521,6ix9ine,BEBE,88,29590906
1522,Rita Ora,Your Song,115,29588951
1523,Demi Lovato,Confident,147,29572453
1524,Ariana Grande,Santa Baby,89,29568644
1525,Nirvana,Smells Like Teen Spirit,130,29498533
1526,Taylor Swift,the last great american dynasty,53,29487548
1527,Drake,Circo Loco,41,29464494
1528,Coldplay,Sparks,115,29456244
1529,Meek Mill,Litty,139,29437095
1530,Ashe,Moral of the Story,78,29433590
1531,Zedd,Happy Now,70,29403914
1532,Lil Pump,Flex Like Ouu,156,29394075
1533,Taylor Swift,ME!,24,29380101
1534,Eminem,Venom  Music From The Motion Picture,85,29353999
1535,Sam Hunt,House Party,193,29348139
1536,SZA,Hit Different,110,29320034
1537,Billie Eilish,Lost Cause,73,29296420
1538,6ix9ine,KEKE,93,29292989
1539,Kendrick Lamar,m.A.A.d city,263,29271534
1540,The Chainsmokers,Setting Fires,106,29258354
1541,Eminem,Killshot,72,29215305
1542,Drake,Behind Barz  Bonus,82,29207360
1543,Olivia Holt,History,112,29180302
1544,Lil Baby,Right On,91,29180138
1545,Gym Class Heroes,Cupid's Chokehold / Breakfast in America,97,29175430
1546,Pentatonix,Hallelujah,110,29155877
1547,21 Savage,Glock In My Lap,82,29132742
1548,Ariana Grande,Focus,101,29128818
1549,Ed Sheeran,I See Fire,282,29113307
1550,Blueface,Daddy,101,29093232
1551,Future,Comin Out Strong,109,29055414
1552,Fifth Harmony,Down,98,29050601
1553,NAV,Turks,42,28957255
1554,DaBaby,Red Light Green Light,77,28897399
1555,Cardi B,I Do,73,28882876
1556,Moneybagg Yo,Time Today,102,28866424
1557,MadeinTYO,Ned Flanders,113,28845468
1558,ACRAZE,Do It To It,97,28832576
1559,Stephanie Beatriz,Waiting On A Miracle,83,28825661
1560,Kendrick Lamar,LUST.,63,28788921
1561,J. Cole,i n t e r l u d e,38,28771538
1562,Justin Bieber,Forever,56,28736753
1563,David Guetta,This One's for You,110,28667578
1564,Bad Bunny,Dakiti,28,28652215
1565,2 Chainz,Watch Out,208,28638014
1566,Ed Sheeran,Antisocial,56,28620933
1567,Bad Bunny,Ignorantes,69,28586835
1568,Lil Uzi Vert,Seven Million,134,28581478
1569,Future,Crushed Up,63,28566228
1570,Kid Cudi,Tequila Shots,68,28560505
1571,Cardi B,Drip,75,28521201
1572,Ryan Hurd,Chasing After You,121,28480751
1573,Kendrick Lamar,FEEL.,57,28447663
1574,Khalid,The Ways,64,28436353
1575,Drake,Feel No Ways,126,28402913
1576,J. Cole,1985  Intro to “The Fall Off”,50,28387561
1577,Grupo Frontera,No Se Va  En Vivo,81,28385161
1578,Khalid,8TEEN,141,28367383
1579,Juice WRLD,Cigarettes,68,28338245
1580,Imagine Dragons,Bad Liar,79,28309482
1581,J. Cole,A Tale of 2 Citiez,266,28230967
1582,Sam Smith,I'm Not The Only One,223,28188250
1583,Frank Ocean,Chanel,112,28098153
1584,Harry Styles,Keep Driving,53,28086134
1585,Maty Noyes,in my miNd,122,28076264
1586,MAX,Love Me Less,105,28072259
1587,Arctic Monkeys,Why'd You Only Call Me When You're High?,117,28059730
1588,The Weeknd,Dark Times,162,28019756
1589,Nat King Cole,Deck The Hall,48,27948579
1590,Kendrick Lamar,Rich Spirit,52,27912896
1591,The Weeknd,Try Me,46,27901035
1592,Joji,Die For You,50,27893011
1593,John Mayer,New Light,81,27836425
1594,Shakira,Chantaje,124,27834533
1595,Oliver Tree,Miss You,75,27833633
1596,Drake,TSU,42,27807123
1597,Kendrick Lamar,Silent Hill,55,27800753
1598,Kygo,Lose Somebody,91,27753100
1599,Big Sean,No Favors,78,27675013
1600,Billie Eilish,No Time To Die,49,27664508
1601,Swedish House Mafia,Moth To A Flame,74,27573950
1602,Sage The Gemini,Now and Later,99,27562204
1603,Gunna,Too Easy,83,27502756
1604,Post Malone,Blame It On Me,53,27487624
1605,Taylor Swift,The Man,47,27457970
1606,The Chainsmokers,Sick Boy,66,27440685
1607,5 Seconds of Summer,Teeth,97,27425391
1608,Machine Gun Kelly,forget me too,93,27421235
1609,Ty Dolla $ign,Saved,168,27409784
1610,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels),51,27360657
1611,J. Cole,Apparently,294,27354030
1612,Lil Tecca,REPEAT IT,88,27334405
1613,Halsey,Nightmare,68,27306005
1614,French Montana,No Shopping,121,27268306
1615,The Chainsmokers,Somebody,83,27172552
1616,Gucci Mane,Met Gala,101,27121697
1617,Juice WRLD,Bad Energy,62,27097509
1618,Thomas Rhett,Crash and Burn,227,27040305
1619,The Chainsmokers,The One,70,26983605
1620,Dean Martin,Silver Bells,80,26956453
1621,VÉRITÉ,Somebody Else,134,26944785
1622,Becky G,Shower,175,26898286
1623,Diplo,Be Right There,170,26895339
1624,Hailee Steinfeld,Rock Bottom,126,26884064
1625,Miguel,Sure Thing,86,26871929
1626,Kygo,Born To Be Yours,75,26853513
1627,Taylor Swift,The Great War,42,26851672
1628,Fetty Wap,Wake Up,131,26848172
1629,Pedro Capó,Calma  Remix,106,26847185
1630,Drake,Lemon Pepper Freestyle,59,26830541
1631,Doja Cat,Say So,57,26778767
1632,Sebastian Yatra,Dos Oruguitas,79,26756153
1633,Jonas Brothers,Like It's Christmas,75,26748941
1634,A,Wall  Loverboy,93,26726596
1635,Stevie Wonder,What Christmas Means To Me,70,26722376
1636,Ariana Grande,ghostin,46,26687519
1637,Taylor Swift,my tears ricochet,45,26674227
1638,Lizzo,Rumors,59,26619697
1639,Drake,Sacrifices,62,26574302
1640,Rae Sremmurd,Guatemala,98,26496362
1641,Young Thug,Best Friend,175,26473575
1642,DNCE,Toothbrush,93,26456038
1643,Taylor Swift,Wildest Dreams (Taylor's Version),78,26453629
1644,Juice WRLD,Make Believe,73,26448107
1645,DaBaby,INTRO,64,26429768
1646,Snakehips,Don't Leave,89,26419507
1647,Sam Smith,Like I Can,222,26407088
1648,Yeat,Talk,65,26406433
1649,Kanye West,Jail,37,26376710
1650,Morgan Wallen,Still Goin Down,82,26338126
1651,Labrinth,Still Don't Know My Name,87,26336120
1652,Billie Eilish,bad guy,48,26284792
1653,Imagine Dragons,Demons,288,26233403
1654,Bad Bunny,Sensualidad,114,26127265
1655,Drake,Fire & Desire,150,26086526
1656,Brent Faiyaz,Clouded,82,26081717
1657,Eminem,Not Alike,49,26075002
1658,Gunna,Baby Birkin,98,26062405
1659,Smokepurpp,Nephew,91,26058879
1660,BLACKPINK,Ice Cream,68,26051075
1661,Rosa Linn,SNAP,88,25972464
1662,Juice WRLD,Titanic,56,25924016
1663,XXXTENTACION,Carry On,94,25904909
1664,Future,I'M ON ONE,65,25867428
1665,Travis Scott,CAROUSEL,51,25851388
1666,21 Savage,ball w/o you,94,25845019
1667,Travis Scott,CAN'T SAY,64,25843133
1668,Dawin,Dessert,185,25841085
1669,Lil Pump,Boss,114,25770253
1670,Wisin,Escápate Conmigo,135,25768264
1671,Kygo,Stargazing,81,25763596
1672,Selena Gomez,Rare,50,25744542
1673,The Weeknd,Wicked Games,315,25707978
1674,Jason Derulo,Take You Dancing,105,25700497
1675,$uicideboy$,Antarctica,103,25575127
1676,Roddy Ricch,Peta,69,25555148
1677,Marian Hill,Down,99,25540811
1678,Juice WRLD,Man Of The Year,66,25520558
1679,Quality Control,Ice Tray,95,25519466
1680,Travis Scott,WAKE UP,56,25512899
1681,Lewis Capaldi,Bruises,106,25462460
1682,Carly Rae Jepsen,I Really Like You,149,25457946
1683,Harry Styles,Cinema,43,25457307
1684,Rod Wave,Richer,72,25443802
1685,Migos,Straightenin,72,25431949
1686,Taylor Swift,I Forgot That You Existed,56,25429057
1687,Drake,Privileged Rappers,32,25413982
1688,Lady Gaga,Stupid Love,63,25405159
1689,Tory Lanez,TAlk tO Me,99,25404826
1690,Los Legendarios,Fiel,77,25351520
1691,Kanye West,Ghost Town,41,25321956
1692,Avicii,Waiting For Love,161,25265293
1693,Eagles,Please Come Home for Christmas  Eagles 2013 Remaster,57,25264515
1694,Ambjaay,Uno,91,25195284
1695,Taylor Swift,Bigger Than The Whole Sky,40,25189181
1696,Jason Derulo,Tip Toe,104,25183473
1697,Lil Wayne,Let It Fly,42,25127073
1698,Kid Ink,Be Real,206,25126943
1699,Macklemore,Good Old Days,88,25091594
1700,Thomas Rhett,TShirt,169,25055557
1701,PARTYNEXTDOOR,BELIEVE IT,77,25051320
1702,Megan Thee Stallion,Captain Hook,106,25049443
1703,Skrillex,Purple Lamborghini,117,25043736
1704,Nio Garcia,AM Remix,86,25024011
1705,SZA,Nobody Gets Me,20,24880624
1706,Lil Baby,Commercial,91,24861449
1707,Ty Dolla $ign,Blasé,184,24820685
1708,Post Malone,Goodbyes,105,24812837
1709,David Guetta,Like I Do,74,24811649
1710,Post Malone,Sugar Wraith,53,24810017
1711,Harry Styles,Love Of My Life,46,24795101
1712,Juice WRLD,Let Me Know (I Wonder Why Freestyle),68,24788846
1713,Zara Larsson,Ain't My Fault,88,24779338
1714,Drake,Pop Style,31,24766383
1715,Harry Styles,Daydreaming,43,24763267
1716,Migos,Kelly Price,83,24762447
1717,Billie Eilish,Happier Than Ever  Edit,93,24756556
1718,Future,First Off,58,24728788
1719,benny blanco,Graduation,82,24721876
1720,G,Eazy  Good Life,75,24716266
1721,Dynoro,In My Mind,73,24715326
1722,Taylor Swift,Shake It Off,56,24714054
1723,Drake,In The Bible,42,24703743
1724,Joyner Lucas,Isis,64,24696412
1725,Bryce Vine,La La Land,89,24685894
1726,Ava Max,Kings & Queens,106,24646624
1727,MadeinTYO,Skateboard P,135,24643764
1728,Nevada,The Mack,93,24629480
1729,Young Thug,Bubbly,73,24579609
1730,Post Malone,Allergic,49,24574813
1731,Terror Jr,Come First,104,24562357
1732,Sia,Thunderclouds,71,24534326
1733,Drake,Survival,32,24517798
1734,Miley Cyrus,Slide Away,50,24514336
1735,Eminem,Fall,49,24486292
1736,KIDS SEE GHOSTS,Reborn,56,24476041
1737,Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),52,24467642
1738,Logic,Flexicution,127,24441433
1739,6ix9ine,TIC TOC,42,24422094
1740,Dr. Dre,Still D.R.E.,76,24393361
1741,Ozuna,Vaina Loca,89,24364324
1742,Rihanna,Kiss It Better,180,24360342
1743,Emmy Meli,I AM WOMAN,83,24325903
1744,Perry Como,(There's No Place Like) Home for the Holidays  1959 Version,61,24308491
1745,J Balvin,Mi Gente,65,24296262
1746,Madison Beer,Selfish,79,24270363
1747,Drake,Get It Together,54,24267097
1748,Drake,Broke Boys,34,24244407
1749,Young Thug,Chanel (Go Get It),80,24238683
1750,OneRepublic,Rescue Me,82,24227740
1751,OMI,Cheerleader  Felix Jaehn Remix Radio Edit,162,24225108
1752,ScHoolboy Q,Collard Greens,111,24222105
1753,Jack Harlow,SUVs (Black on Black),77,24159082
1754,Sam Smith,Pray,68,24136128
1755,LISA,MONEY,72,24125163
1756,Big Sean,Jump Out The Window,105,24101999
1757,Taylor Swift,Paris,40,24101601
1758,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),63,24090906
1759,Ed Sheeran,Tenerife Sea,279,24088221
1760,Future,Life Is Good,77,24064298
1761,Ali Gatie,What If I Told You That I Love You,80,24053410
1762,Travis Scott,HIGHEST IN THE ROOM,51,24051669
1763,The Kid LAROI,Not Sober,62,23999111
1764,Hailee Steinfeld,Capital Letters,75,23950925
1765,Kanye West,Fade,130,23909185
1766,Smiley,Over The Top,62,23907104
1767,Kanye West,Ultralight Beam,123,23904305
1768,Lil Durk,What Happened To Virgil,80,23894677
1769,Drake,Massive,52,23891905
1770,Blueface,Bleed It,80,23855884
1771,Ariana Grande,in my head,45,23799788
1772,Silk City,Electricity,56,23777894
1773,Travis Scott,FRANCHISE,59,23776433
1774,N.E.R.D,Lemon  Drake Remix,56,23774569
1775,Halsey,Colors,150,23700030
1776,Zedd,Good Thing,63,23692108
1777,BLACKPINK,Pink Venom,49,23680687
1778,Sam Hunt,Make You Miss Me,187,23646804
1779,Jhené Aiko,B.S.,79,23573186
1780,A$AP Rocky,Everyday,181,23561949
1781,Taylor Swift,Love Story (Taylor’s Version),55,23554176
1782,6ix9ine,MAMA,58,23543715
1783,Wiz Khalifa,We Dem Boyz,248,23514685
1784,Elton John,Hold Me Closer,61,23512491
