value,depth,song position
   78      Drake          Wants and Needs                               645        297154583,10,78
   79      Cardi B        WAP                                           417        296670667,11,79
   80      Travis Scott   HIGHEST IN THE ROOM                           602        295198938,7,80
   81      Lil Tecca      Ransom                                        465        292578295,11,81
   82      Sheck Wes      Mo Bamba                                      421        289673118,10,82
   83      Post Malone    White Iverson                                 1069       288882157,11,83
   84      Drake          In My Feelings                                348        288633458,9,84
   85      Lil Nas X      MONTERO (Call Me By Your Name)                410        288187067,11,85
   86      French Montana Unforgettable                                 501        287042302,10,86
   87      Drake          Nonstop                                       478        286786239,11,87
   88      Post Malone    Candy Paint                                   717        286217712,8,88
   89      DRAM           Broccoli                                      646        285106532,11,89
   90      Dua Lipa       Don't Start Now                               646        284754771,10,90
   91      Juice WRLD     Come & Go                                     644        280531842,11,91
   92      Juice WRLD     Wishing Well                                  625        277821416,9,92
   93      DaBaby         BOP                                           622        277705797,11,93
   94      Lil Uzi Vert   20 Min                                        1012       277454899,10,94
   95      Travis Scott   BUTTERFLY EFFECT                              682        276763296,11,95
   96      Brenda Lee     Rockin' Around The Christmas Tree             340        276529912,6,96
   97      Drake          Knife Talk                                    471        275693546,11,97
   98      Pop Smoke      For The Night                                 512        274720487,10,98
   99      Drake          Fake Love                                     525        274318587,11,99
   100     Internet Money Lemonade                                      517        273391855,9,100
   101     Tyga           Taste                                         486        272293130,11,101
   102     Future         Mask Off                                      441        271944410,10,102
   103     Olivia Rodrigo traitor                                       522        271379624,11,103
   104     DaBaby         Suge                                          516        270915921,8,104
   105     SZA            Good Days                                     604        270125295,11,105
   106     Doja Cat       Need To Know                                  460        268475081,10,106
   107     Drake          Money In The Grave (Drake ft. Rick Ross)      467        265919957,11,107
   108     Mustard        Ballin'                                       656        265117682,9,108
   109     Bryson Tiller  Don't                                         1008       264444220,11,109
   110     Harry Styles   Adore You                                     633        264055553,10,110
   111     Imagine DragonsBeliever                                      745        263375966,11,111
   112     Lauv           I Like Me Better                              930        263177728,7,112
   113     Migos          Bad and Boujee                                491        262086852,11,113
   114     KYLE           iSpy                                          512        262041081,10,114
   115     Luis Fonsi     Despacito  Remix                              344        260702344,11,115
   116     Kodak Black    ZEZE                                          402        260612786,9,116
   117     Lil Uzi Vert   The Way Life Goes                             834        260565170,11,117
   118     Khalid         Better                                        519        259760668,10,118
   119     Sam Hunt       Body Like A Back Road                         703        259538408,11,119
   120     A Boogie Wit da HoodieSwervin                                       564        258648283,8,120
   121     Imagine DragonsThunder                                       724        257758821,11,121
   122     Tones And I    Dance Monkey                                  539        256274759,10,122
   123     The ChainsmokersDon't Let Me Down                             568        251672744,11,123
   124     Polo G         Pop Out                                       647        251658876,9,124
   125     Chris Brown    No Guidance                                   550        250362082,11,125
   126     Drake          Passionfruit                                  622        249576463,10,126
   127     Steve Lacy     Dark Red                                      513        249198471,11,127
   128     Juice WRLD     Armed And Dangerous                           756        248991383,4,128
   129     Camila Cabello Havana                                        484        247086289,11,129
   130     Morgan Wallen  Wasted On You                                 687        246675467,10,130
   131     Drake          Laugh Now Cry Later                           449        246389835,11,131
   132     Bruno Mars     That's What I Like                            517        245642565,9,132
   133     Kendrick Lamar DNA.                                          451        242841173,11,133
   134     The Weeknd     Save Your Tears                               692        242055670,10,134
   135     Polo G         Martin & Gina                                 702        241128929,11,135
   136     The Weeknd     Die For You                                   682        240869086,8,136
   137     Eminem         Godzilla                                      665        240271807,11,137
   138     Big Sean       Bounce Back                                   531        239157563,10,138
   139     Steve Lacy     Bad Habit                                     183        239087671,11,139
   140     Jack Harlow    WHATS POPPIN                                  519        238356467,9,140
   141     XXXTENTACION   Everybody Dies In Their Nightmares            772        238214306,11,141
   142     Desiigner      Panda                                         518        237739871,10,142
   143     Shawn Mendes   Señorita                                     400        236868842,11,143
   144     Fleetwood Mac  Dreams  2004 Remaster                         781        236167945,7,144
   145     Cardi B        Bodak Yellow                                  489        235788390,11,145
   146     Bobby Helms    Jingle Bell Rock                              335        235335220,10,146
   147     Drake          Jumpman                                       584        235129660,11,147
   148     Trevor Daniel  Falling                                       455        234818302,9,148
   149     Bad Bunny      DÁKITI                                       596        234636216,11,149
   150     Rihanna        Needed Me                                     494        233794067,10,150
   151     5 Seconds of SummerYoungblood                                    608        233302902,11,151
   152     The Killers    Mr. Brightside                                877        232977345,8,152
   153     Baby Keem      family ties                                   487        232461442,11,153
   154     Doja Cat       Woman                                         489        232370353,10,154
   155     Arctic Monkeys 505                                           692        231800625,11,155
   156     Lil Nas X      Old Town Road  Remix                          317        229868299,9,156
   157     DJ Khaled      I'm the One                                   332        227464533,11,157
   158     Drake          Hotline Bling                                 555        226915487,10,158
   159     A Boogie Wit da HoodieDrowning                                      591        225834058,11,159
   160     XXXTENTACION   changes                                       560        225063813,6,160
   161     Machine Gun Kellymy ex's best friend                           596        223702831,11,161
   162     Bazzi          Mine                                          510        223577524,10,162
   163     Zedd           The Middle                                    561        223370198,11,163
   164     Justin Bieber  Sorry                                         466        222779216,9,164
   165     Conan Gray     Heather                                       647        222474626,11,165
   166     Post Malone    Goodbyes (Feat. Young Thug)                   329        220243023,10,166
   167     XXXTENTACION   Look At Me!                                   668        218130170,11,167
   168     Bad Bunny      Me Porto Bonito                               237        217545422,8,168
   169     J. Cole        Wet Dreamz                                    1130       217277232,11,169
   170     Andy Williams  It's the Most Wonderful Time of the Year      342        214480695,10,170
   171     Jack Harlow    WHATS POPPIN                                  444        212620780,11,171
   172     Lewis Capaldi  Before You Go                                 672        211623667,9,172
   173     Juice WRLD     Lean Wit Me                                   671        209772076,11,173
   174     Tame Impala    The Less I Know The Better                    893        209554986,10,174
   175     Bad Bunny      Tití Me Preguntó                            237        207857104,11,175
   176     Twenty One PilotsRide                                          708        207848346,7,176
   177     Kendrick Lamar All The Stars                                 404        207519025,11,177
   178     Twenty One PilotsStressed Out                                  706        207439306,10,178
   179     Billie Eilish  Happier Than Ever                             459        207031225,11,179
   180     Aminé         Caroline                                      537        206635412,9,180
   181     6ix9ine        FEFE                                          271        206222122,11,181
   182     Drake          Too Good                                      359        205088227,10,182
   183     Khalid         Love Lies                                     445        204075140,11,183
   184     Justin Bieber  Peaches                                       312        203494777,8,184
   185     Kendrick Lamar Money Trees                                   726        203375167,11,185
   186     Young Thug     The London                                    401        203093189,10,186
   187     Future         Low Life                                      604        202769617,11,187
   188     Panic! At The DiscoHigh Hopes                                    535        201888489,9,188
   189     SAINt JHN      Roses  Imanbek Remix                          431        201135462,11,189
   190     Powfu          death bed                                     478        200371352,10,190
   191     Rae Sremmurd   Black Beatles                                 384        200178133,11,191
   192     Rihanna        Work                                          408        199973584,5,192
   193     Billie Eilish  everything i wanted                           435        199922212,11,193
   194     Jonas Brothers Sucker                                        414        199695180,10,194
   195     Rich The Kid   Plug Walk                                     417        198858962,11,195
   196     Justin Bieber  Love Yourself                                 458        198773307,9,196
   197     Migos          Slippery                                      477        197966789,11,197
   198     21 Savage      a lot                                         412        197950103,10,198
   199     Flipp Dinero   Leave Me Alone                                418        197450612,11,199
   200     Dan + Shay     Tequila                                       723        196958667,8,200
   201     Bryson Tiller  Exchange                                      837        196861471,11,201
   202     Twenty One PilotsHeathens                                      410        195918435,10,202
   203     Doja Cat       Streets                                       477        195884808,11,203
   204     Wham!          Last Christmas                                315        195381527,9,204
   205     Jack Harlow    First Class                                   231        195314542,11,205
   206     Fetty Wap      Trap Queen                                    622        194792972,10,206
   207     The Weeknd     Can't Feel My Face                            543        194406860,11,207
   208     Bruno Mars     Leave The Door Open                           400        193296752,7,208
   209     Kodak Black    Roll In Peace                                 518        192647458,11,209
   210     The NeighbourhoodDaddy Issues                                  705        192551331,10,210
   211     Morgan Wallen  More Than My Hometown                         697        191448082,11,211
   212     Gucci Mane     Wake Up in the Sky                            340        189926403,9,212
   213     Marshmello     Silence                                       468        189144242,11,213
   214     Michael Bublé It's Beginning to Look a Lot Like Christmas   357        187463596,10,214
   215     Maroon 5       Girls Like You                                383        186579571,11,215
   216     Justin Bieber  What Do You Mean?                             413        185795808,8,216
   217     The Weeknd     Call Out My Name                              471        185191010,11,217
   218     BØRNS         Electric Love                                 737        185017224,10,218
   219     NF             Let You Down                                  480        184436690,11,219
   220     Fifth Harmony  Work from Home                                420        184122003,9,220
   221     Drake          Controlla                                     400        183609837,11,221
   222     Morgan Wallen  Chasin' You                                   687        183121183,10,222
   223     Ariana Grande  Santa Tell Me                                 348        182490361,11,223
   224     Ed Sheeran     Thinking out Loud                             792        182153495,6,224
   225     Pop Smoke      What You Know Bout Love                       422        182024316,11,225
   226     Lil Mosey      Noticed                                       531        181647697,10,226
   227     Mike Posner    I Took A Pill In Ibiza  Seeb Remix            442        181197216,11,227
   228     Ed Sheeran     Perfect                                       488        180975541,9,228
   229     Ariana Grande  no tears left to cry                          384        180563889,11,229
   230     Chance the RapperNo Problem                                    568        180053419,10,230
   231     Mustard        Pure Water                                    396        180042907,11,231
   232     Dan + Shay     Speechless                                    662        179301739,8,232
   233     The ChainsmokersRoses                                         520        178699372,11,233
   234     Khalid         Talk                                          341        178662883,10,234
   235     G              Eazy  No Limit                                373        178639729,11,235
   236     21 Savage      X                                             555        178576237,9,236
   237     Surf Curse     Freaks                                        556        178535641,11,237
   238     Demi Lovato    Sorry Not Sorry                               379        177157747,10,238
   239     Billie Eilish  bury a friend                                 364        176834584,11,239
   240     Kodak Black    Tunnel Vision                                 396        176688536,7,240
   241     Surfaces       Sunday Best                                   412        176430872,11,241
   242     Sleepy Hallow  2055                                          454        176244822,10,242
   243     Migos          Stir Fry                                      336        175630677,11,243
   244     A Boogie Wit da HoodieLook Back At It                               366        175483878,9,244
   245     Justin Bieber  Intentions                                    328        175135180,11,245
   246     Post Malone    Go Flex                                       673        174710816,10,246
   247     The Walters    I Love You So                                 431        174547021,11,247
   248     Ed Sheeran     Bad Habits                                    350        174488164,8,248
   249     A$AP Ferg      Plain Jane                                    408        174255086,11,249
   250     Famous Dex     PICK IT UP                                    421        173990426,10,250
   251     Major Lazer    Lean On                                       588        173817845,11,251
   252     Elton John     Cold Heart  PNAU Remix                        408        173542648,9,252
   253     Dua Lipa       New Rules                                     399        173328947,11,253
   254     Ed Sheeran     Shivers                                       399        173225595,10,254
   255     Mac Miller     The Spins                                     612        173209349,11,255
   256     Adele          Easy On Me                                    246        173180228,3,256
   257     Ariana Grande  positions                                     333        172797966,11,257
   258     Tate McRae     you broke me first                            503        172703722,10,258
   259     Kodak Black    Super Gremlin                                 346        171909115,11,259
   260     Lil Nas X      Panini                                        249        171512571,9,260
   261     Drake          Way 2 Sexy                                    280        170202629,11,261
   262     Roddy Ricch    High Fashion                                  354        169149991,10,262
   263     Ed Sheeran     I Don't Care                                  323        168839409,11,263
   264     Billie Eilish  ocean eyes                                    623        168543006,8,264
   265     Migos          Walk It Talk It                               358        168214275,11,265
   266     Lady Gaga      Shallow                                       403        167883840,10,266
   267     Drake          Jimmy Cooks                                   195        166499191,11,267
   268     Doja Cat       Say So                                        308        165898476,9,268
   269     Fetty Wap      679                                           501        165220739,11,269
   270     Kali Uchis     telepatía                                    395        164803198,10,270
   271     Calboy         Envy Me                                       440        164149940,11,271
   272     Justin Bieber  Ghost                                         399        163964781,7,272
   273     Adele          Hello                                         404        163937424,11,273
   274     Joji           Glimpse of Us                                 201        163315058,10,274
   275     Burl Ives      A Holly Jolly Christmas  Single Version       278        163198351,11,275
   276     Julia Michaels Issues                                        414        163082925,9,276
   277     Kate Bush      Running Up That Hill (A Deal With God)        182        163034803,11,277
   278     Migos          TShirt                                        393        162318539,10,278
   279     Giveon         HEARTBREAK ANNIVERSARY                        371        162181516,11,279
   280     ZAYN           I Don’t Wanna Live Forever (Fifty Shades Darker)378        161895465,8,280
   281     Drake          Toosie Slide                                  239        161667752,11,281
   282     Kanye West     Father Stretch My Hands Pt. 1                 607        161479699,10,282
   283     Zedd           Stay                                          317        161032066,11,283
   284     Major Lazer    Cold Water                                    274        160700352,9,284
   285     Lil Nas X      THATS WHAT I WANT                             358        160369392,11,285
   286     Future         WAIT FOR U                                    243        160359546,10,286
   287     Lil Uzi Vert   Sanguine Paradise                             382        160244733,11,287
   288     Maroon 5       Memories                                      372        159686092,6,288
   289     Lil Pump       Gucci Gang                                    242        159368635,11,289
   290     Lil Uzi Vert   Money Longer                                  648        159142673,10,290
   291     DJ Snake       Let Me Love You                               300        158366154,11,291
   292     Hailee SteinfeldStarving                                      423        158320524,9,292
   293     JP Saxe        If The World Was Ending                       520        156928093,11,293
   294     The ChainsmokersSomething Just Like This                      364        156839599,10,294
   295     Olivia Rodrigo favorite crime                                384        156762362,11,295
   296     Chris StapletonTennessee Whiskey                             747        156707370,8,296
   297     Gucci Mane     I Get The Bag                                 335        156184444,11,297
   298     Masked Wolf    Astronaut In The Ocean                        290        155387513,10,298
   299     Khalid         Saturday Nights                               391        154969059,11,299
   300     H.E.R.         Best Part                                     635        154582091,9,300
   301     Rob $tone      Chill Bill                                    442        154052440,11,301
   302     YNW Melly      223's                                         325        152984591,10,302
   303     Hozier         Take Me To Church                             644        152777306,11,303
   304     Ed Sheeran     Beautiful People                              309        152409919,7,304
   305     Playboi Carti  Magnolia                                      365        151502606,11,305
   306     Beach House    Space Song                                    549        151348745,10,306
   307     JAY            Z  Ni**as In Paris                            995        151213181,11,307
   308     Calvin Harris  This Is What You Came For                     288        149620244,9,308
   309     Ariana Grande  34+35                                         291        148864140,11,309
   310     Don Toliver    After Party                                   400        148828688,10,310
   311     Lizzo          About Damn Time                               243        148776441,11,311
   312     Calvin Harris  Slide                                         281        148615807,8,312
   313     Juice WRLD     Righteous                                     333        148152203,11,313
   314     THE SCOTTS     THE SCOTTS                                    237        147793519,10,314
   315     The Kid LAROI  WITHOUT YOU                                   338        147434939,11,315
   316     Young Thug     pick up the phone                             552        146950542,9,316
   317     Zach Bryan     Something in the Orange                       251        146934063,11,317
   318     Justin Timberlake"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"437        146405505,10,318
   319     Shawn Mendes   Stitches                                      535        146222899,11,319
   320     Pop Smoke      Dior                                          532        145804298,5,320
   321     Doja Cat       Ain't Shit                                    356        145660715,11,321
   322     Lil Tjay       Calling My Phone                              301        145633110,10,322
   323     Charlie Puth   Attention                                     346        145299789,11,323
   324     Lil Skies      Nowadays                                      441        144878462,9,324
   325     Doja Cat       You Right                                     386        144688259,11,325
   326     Drake          Portland                                      331        144664417,10,326
   327     Bing Crosby    White Christmas                               280        144606354,11,327
   328     Harry Styles   Late Night Talking                            219        144096811,8,328
   329     Jay Rock       King's Dead                                   292        144088666,11,329
   330     Cardi B        Up                                            247        143743718,10,330
   331     Bad Bunny      MIA                                           287        143656931,11,331
   332     Hailee SteinfeldLet Me Go                                     357        143350902,9,332
   333     The Weeknd     I Feel It Coming                              331        143319177,11,333
   334     Sia            Cheap Thrills                                 371        142986096,10,334
   335     SZA            Love Galore                                   426        142655912,11,335
   336     Lukas Graham   7 Years                                       414        142277410,7,336
   337     Morgan Wallen  You Proof                                     230        141716685,11,337
   338     Rae Sremmurd   Swang                                         393        141632137,10,338
   339     Nat King Cole  The Christmas Song (Merry Christmas To You)   232        141071360,11,339
   340     Dean Lewis     Be Alright                                    453        141016791,9,340
   341     Post Malone    I Like You (A Happier Song)                   208        140872042,11,341
   342     Lil Xan        Betrayed                                      374        140250610,10,342
   343     Yot Club       YKWIM?                                        504        139804345,11,343
   344     Kendrick Lamar LOYALTY. FEAT. RIHANNA.                       330        139730182,8,344
   345     Sam Smith      Dancing With A Stranger                       328        138760630,11,345
   346     Doja Cat       Get Into It (Yuh)                             391        138640495,10,346
   347     Migos          MotorSport                                    311        138467640,11,347
   348     Carolina GaitánLa Gaita  We Don't Talk About Bruno           201        138398595,9,348
   349     Harry Styles   Falling                                       501        138072456,11,349
   350     DJ Khaled      Wild Thoughts                                 231        138033504,10,350
   351     Lil Uzi Vert   You Was Right                                 501        138001040,11,351
   352     Kiiara         Gold                                          403        137920503,6,352
   353     Kanye West     Heartless                                     439        137403023,11,353
   354     Luke Combs     Forever After All                             403        137048398,10,354
   355     Mark Ronson    Uptown Funk                                   531        136885294,11,355
   356     Frank Sinatra  Let It Snow! Let It Snow! Let It Snow!        305        136448853,9,356
   357     Y2K            Lalala                                        321        136394278,11,357
   358     Ski Mask The Slump GodFaucet Failure                                415        136293354,10,358
   359     Jack Ü        Where Are Ü Now                              447        135999812,11,359
   360     Flo Rida       My House                                      411        135782448,8,360
   361     Noah Cyrus     July                                          509        135753612,11,361
   362     Lil Tjay       F.N                                           442        135359031,10,362
   363     DJ Khaled      POPSTAR                                       317        135192435,11,363
   364     Saweetie       Best Friend                                   299        135156338,9,364
   365     Bad Bunny      Efecto                                        236        134743830,11,365
   366     The Weeknd     Save Your Tears                               327        134482363,10,366
   367     Ariana Grande  Side To Side                                  332        134449731,11,367
   368     Bad Bunny      Yonaguni                                      347        133665412,7,368
   369     Liam Payne     Strip That Down                               311        133182143,11,369
   370     The Weeknd     Earned It (Fifty Shades Of Grey)              532        132827332,10,370
   371     Drake          Fair Trade                                    301        132758753,11,371
   372     Morgan Wallen  Sand In My Boots                              460        132664367,9,372
   373     Trippie Redd   Miss The Rage                                 349        132399703,11,373
   374     Bruno Mars     24K Magic                                     349        132118188,10,374
   375     Lil Nas X      Old Town Road                                 175        132031403,11,375
   376     ZAYN           PILLOWTALK                                    297        131983424,8,376
   377     BTS            Dynamite                                      332        131917493,11,377
   378     Kygo           It Ain't Me                                   272        130487216,10,378
   379     DaBaby         VIBEZ                                         285        129872425,11,379
   380     Russ           Losin Control                                 512        129835284,9,380
   381     Portugal. The ManFeel It Still                                 331        129571919,11,381
   382     NEIKED         Better Days (NEIKED x Mae Muller x Polo G)    321        129400161,10,382
   383     Shawn Mendes   Treat You Better                              321        129275991,11,383
   384     Bad Bunny      Moscow Mule                                   219        128972121,4,384
   385     Cardi B        Money                                         273        128812752,11,385
   386     Morgan Wallen  7 Summers                                     388        128247607,10,386
   387     José FelicianoFeliz Navidad                                 222        128148147,11,387
   388     Travis Scott   YOSEMITE                                      320        127780533,9,388
   389     Famous Dex     JAPAN                                         299        127676006,11,389
   390     Farruko        Pepas                                         337        127483860,10,390
   391     Justin Bieber  Mistletoe                                     295        127188550,11,391
   392     THE ANXIETY    Meet Me At Our Spot                           281        126861687,8,392
   393     Polo G         21                                            425        126417091,11,393
   394     Vance Joy      Riptide                                       753        126349492,10,394
   395     DJ Snake       Taki Taki                                     238        126096694,11,395
   396     Grouplove      Tongue Tied                                   525        125880696,9,396
   397     Diplo          Heartless                                     444        125811158,11,397
   398     StaySolidRocky Party Girl                                    239        125662367,10,398
   399     Taylor Swift   AntiHero                                      69         124825787,11,399
   400     Quality ControlBaby (Lil Baby feat. DaBaby)                  308        124162581,7,400
   401     Billie Eilish  idontwannabeyouanymore                        400        123991487,11,401
   402     Queen          Bohemian Rhapsody  Remastered 2011            420        123761624,10,402
   403     NLE Choppa     Camelot                                       297        123589568,11,403
   404     Luke Combs     When It Rains It Pours                        565        123431139,9,404
   405     Flume          Never Be Like You                             357        123343026,11,405
   406     J Balvin       LA CANCIÓN                                   443        123298668,10,406
   407     Lil Baby       Woah                                          269        122876453,11,407
   408     OneRepublic    I Ain't Worried                               206        122488638,8,408
   409     Playboi Carti  Shoota                                        420        122469617,11,409
   410     2 Chainz       It's A Vibe                                   403        122067552,10,410
   411     Doja Cat       Vegas (From the Original Motion Picture Soundtrack ELVIS)234        121176458,11,411
   412     Juice WRLD     Legends                                       418        121077739,9,412
   413     Rae Sremmurd   Powerglide                                    263        120839941,11,413
   414     XXXTENTACION   Revenge                                       412        120698497,10,414
   415     Ariana Grande  God is a woman                                227        120468984,11,415
   416     Chris Brown    Go Crazy                                      345        120431219,6,416
   417     Martin Garrix  In the Name of Love                           304        120205635,11,417
   418     Sam Smith      Unholy                                        98         120201022,10,418
   419     Pop Smoke      Mood Swings                                   306        119371547,11,419
   420     The ChainsmokersParis                                         224        119358756,9,420
   421     Lil Skies      Red Roses                                     365        119331204,11,421
   422     Wiz Khalifa    See You Again                                 452        119131650,10,422
   423     Billie Eilish  wish you were gay                             271        119110503,11,423
   424     Måneskin      Beggin'                                       231        118922920,8,424
   425     DNCE           Cake By The Ocean                             420        118801783,11,425
   426     Kanye West     Bound 2                                       361        118764637,10,426
   427     Travis Scott   Antidote                                      535        118146637,11,427
   428     The Kid LAROI  GO                                            350        117833168,9,428
   429     Post Malone    Take What You Want                            229        117464544,11,429
   430     Michael Bublé Holly Jolly Christmas                         266        117362413,10,430
   431     Jordan Davis   Buy Dirt                                      446        117239640,11,431
   432     Bad Bunny      Ojitos Lindos                                 226        117064880,7,432
   433     Cochise        Tell Em                                       352        116861554,11,433
   434     Miguel         Sky Walker                                    302        116395947,10,434
   435     Lil Peep       Falling Down  Bonus Track                     236        116066331,11,435
   436     Kelly Clarkson Underneath the Tree                           202        115764085,9,436
   437     Lil Skies      Lust                                          426        115693481,11,437
   438     The Weeknd     Heartless                                     232        115431955,10,438
   439     Ellie Goulding Hate Me                                       370        115056947,11,439
   440     Wallows        Are You Bored Yet?                            420        114791296,8,440
   441     Travis Scott   STARGAZING                                    225        114669162,11,441
   442     Ariana Grande  Into You                                      305        114250630,10,442
   443     Eminem         'Till I Collapse                              771        114132725,11,443
   444     NLE Choppa     Walk Em Down                                  246        113510926,9,444
   445     DJ Snake       Middle                                        353        113465863,11,445
   446     Khalid         OTW                                           294        113437143,10,446
   447     Taylor Swift   You Need To Calm Down                         250        113303615,11,447
   448     Playboi Carti  Sky                                           361        113291304,5,448
   449     Lil Wayne      Sucker For Pain                               344        113258771,11,449
   450     Maroon 5       What Lovers Do                                227        113203255,10,450
   451     d4vd           Romantic Homicide                             149        112839982,11,451
